artist_hottest_name,artist_hottest_id,artist_hottest_hotttnesss
Straight No Chaser,ARRI65G1187FB5992E,0.674179
Ryoichi Kurokawa,AR5BOKM1187B9B0A93,0.407741
Bahwee,ARBYIOI12C60E4EAED,0.555725
Aesop Rock,AR6F6I21187FB5A3AA,0.591177
Tonikom,ARHNLBK1187FB59E67,0.521667
Bee Mask,ARVSEYX122BCFC8FAD,0.498989
Andr?? Verchuren,ARD7U0O1187FB5531A,0.448578
Laurent Garnier,ARRYBYF1187FB3929E,0.580046
Us3,ARQCSP31187B9A17ED,0.651852
D.A.V.E. The Drummer,AR1CIHR1187FB448B1,0.433291
Bernard Parmegiani,ARKH35B1187FB574D3,0.526699
Mississippi John Hurt,ARHNCQ31187B9915DC,0.561348
Mat Kearney,AR4FGSF1187FB528BE,0.593957
Michael Bubl??,ARN0YZ71187B9BA57B,0.777181
Farafina,ARAAGW71187B98D942,0.495283
Dan Patlansky,ARKENZN1187B9B0F63,0.488159
Steve Hofmeyr,AR6OVQQ1187B98B2A6,0.509409
Fela Kuti,ARRN6CE1187B989B40,0.600439
P-Square,ARDSCLE1187B9AD790,0.589798
Grendel,ARWIZZ61187FB3C602,0.577134
Alban Skenderaj,ARNVCLM12420782114,0.533182
Queen,ARL4TII1187B9B46E1,0.746099
Sweet Weapons,ARNQWQK140C717F7C0,0.408744
Martha Scanlan,ARSB3201187FB49FD8,0.487268
Neko Case,AR14K4J1187B993B60,0.652583
Calvin Harris,ARJRB241187FB556A3,0.90029
Into It. Over It.,ARYVVLF1241B9CC03B,0.581514
In Control,AROPHXM1187B9A8C17,0.481982
Wiz Khalifa,ARN0GFV1187FB508CC,0.858241
Disturbed,ARLNLD51187B98DEC5,0.739704
Dirtfedd,ARRRSTF1241B9C604C,0.417439
7and5,ARGWDMY122ECCBD8ED,0.490818
The Breeders,AR62BB21187B9AC83D,0.556616
Never Shout Never,ARXKOFY122BCFCC364,0.582429
Rico Love,ARQTWI511C8A42BC21,0.655812
Foo Fighters,AR6XPWV1187B9ADAEB,0.795885
The Stone Foxes,ARSGEOV1271F574BC6,0.541171
DJ Okawari,ARSCUYQ11E2835C0D9,0.576245
Brian Eno,ART4EPR1187FB38772,0.62981
Giriu Dvasios,ARFKDMB12802FDE85C,0.47932
Bullitnuts,ARVJOZV1187FB4A593,0.521135
Rival Consoles,ARDUXNM11E2835CC96,0.523866
Aquascape,ARQCGKF11E2835F03F,0.520749
U.O.K.,ARKUDTI12CF58F7F58,0.519826
Icons of Filth,ARP1S4O1187FB3C937,0.499417
Inti-Illimani,ARKP5H91187FB3DA26,0.561226
